numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
1;auspol2019;Hash_Abierto;10000;149
1;auspol2019;Hash_Abierto;20000;294
1;auspol2019;Hash_Abierto;30000;425
1;auspol2019;Hash_Abierto;40000;533
1;auspol2019;Hash_Abierto;50000;639
1;auspol2019;Hash_Abierto;60000;772
1;auspol2019;Hash_Abierto;70000;880
1;auspol2019;Hash_Abierto;80000;994
1;auspol2019;Hash_Abierto;90000;1081
1;auspol2019;Hash_Abierto;100000;1164
1;auspol2019;Hash_Abierto;110000;1240
1;auspol2019;Hash_Abierto;120000;1322
1;auspol2019;Hash_Abierto;130000;1394
1;auspol2019;Hash_Abierto;140000;1460
1;auspol2019;Hash_Abierto;150000;1558
1;auspol2019;Hash_Abierto;160000;1690
1;auspol2019;Hash_Abierto;170000;1816
1;auspol2019;Hash_Abierto;180000;1907
1;auspol2019;Cerrado_Lineal;10000;71
1;auspol2019;Cerrado_Lineal;20000;175
1;auspol2019;Cerrado_Lineal;30000;287
1;auspol2019;Cerrado_Lineal;40000;393
1;auspol2019;Cerrado_Lineal;50000;500
1;auspol2019;Cerrado_Lineal;60000;623
1;auspol2019;Cerrado_Lineal;70000;743
1;auspol2019;Cerrado_Lineal;80000;866
1;auspol2019;Cerrado_Lineal;90000;967
1;auspol2019;Cerrado_Lineal;100000;1067
1;auspol2019;Cerrado_Lineal;110000;1163
1;auspol2019;Cerrado_Lineal;120000;1261
1;auspol2019;Cerrado_Lineal;130000;1355
1;auspol2019;Cerrado_Lineal;140000;1445
1;auspol2019;Cerrado_Lineal;150000;1563
1;auspol2019;Cerrado_Lineal;160000;1743
1;auspol2019;Cerrado_Lineal;170000;1894
1;auspol2019;Cerrado_Lineal;180000;2016
1;auspol2019;Cerrado_Cuadratico;10000;70
1;auspol2019;Cerrado_Cuadratico;20000;173
1;auspol2019;Cerrado_Cuadratico;30000;282
1;auspol2019;Cerrado_Cuadratico;40000;388
1;auspol2019;Cerrado_Cuadratico;50000;496
1;auspol2019;Cerrado_Cuadratico;60000;637
1;auspol2019;Cerrado_Cuadratico;70000;761
1;auspol2019;Cerrado_Cuadratico;80000;886
1;auspol2019;Cerrado_Cuadratico;90000;990
1;auspol2019;Cerrado_Cuadratico;100000;1092
1;auspol2019;Cerrado_Cuadratico;110000;1190
1;auspol2019;Cerrado_Cuadratico;120000;1289
1;auspol2019;Cerrado_Cuadratico;130000;1385
1;auspol2019;Cerrado_Cuadratico;140000;1486
1;auspol2019;Cerrado_Cuadratico;150000;1608
1;auspol2019;Cerrado_Cuadratico;160000;1764
1;auspol2019;Cerrado_Cuadratico;170000;1913
1;auspol2019;Cerrado_Cuadratico;180000;2035
1;auspol2019;Cerrado_Doble;10000;82
