numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
1;auspol2019;Hash_Abierto;10000;376
1;auspol2019;Hash_Abierto;20000;765
1;auspol2019;Hash_Abierto;30000;1156
1;auspol2019;Hash_Abierto;40000;1509
1;auspol2019;Hash_Abierto;50000;1954
1;auspol2019;Hash_Abierto;60000;2379
1;auspol2019;Hash_Abierto;70000;2750
1;auspol2019;Hash_Abierto;80000;3114
1;auspol2019;Hash_Abierto;90000;3476
1;auspol2019;Hash_Abierto;100000;3808
1;auspol2019;Hash_Abierto;110000;4139
1;auspol2019;Hash_Abierto;120000;4450
1;auspol2019;Hash_Abierto;130000;4753
1;auspol2019;Hash_Abierto;140000;5047
1;auspol2019;Hash_Abierto;150000;5400
1;auspol2019;Hash_Abierto;160000;5795
1;auspol2019;Hash_Abierto;170000;6150
1;auspol2019;Hash_Abierto;180000;6460
1;auspol2019;Cerrado_Lineal;10000;361
1;auspol2019;Cerrado_Lineal;20000;737
1;auspol2019;Cerrado_Lineal;30000;1122
1;auspol2019;Cerrado_Lineal;40000;1483
1;auspol2019;Cerrado_Lineal;50000;1842
1;auspol2019;Cerrado_Lineal;60000;2211
1;auspol2019;Cerrado_Lineal;70000;2560
1;auspol2019;Cerrado_Lineal;80000;2919
1;auspol2019;Cerrado_Lineal;90000;3278
1;auspol2019;Cerrado_Lineal;100000;3604
1;auspol2019;Cerrado_Lineal;110000;3919
1;auspol2019;Cerrado_Lineal;120000;4283
1;auspol2019;Cerrado_Lineal;130000;4598
1;auspol2019;Cerrado_Lineal;140000;4903
1;auspol2019;Cerrado_Lineal;150000;5259
1;auspol2019;Cerrado_Lineal;160000;5650
1;auspol2019;Cerrado_Lineal;170000;6012
1;auspol2019;Cerrado_Lineal;180000;6327
1;auspol2019;Cerrado_Cuadratico;10000;334
1;auspol2019;Cerrado_Cuadratico;20000;712
1;auspol2019;Cerrado_Cuadratico;30000;1085
1;auspol2019;Cerrado_Cuadratico;40000;1419
1;auspol2019;Cerrado_Cuadratico;50000;1752
1;auspol2019;Cerrado_Cuadratico;60000;2100
1;auspol2019;Cerrado_Cuadratico;70000;2444
1;auspol2019;Cerrado_Cuadratico;80000;2803
1;auspol2019;Cerrado_Cuadratico;90000;3121
1;auspol2019;Cerrado_Cuadratico;100000;3415
1;auspol2019;Cerrado_Cuadratico;110000;3695
1;auspol2019;Cerrado_Cuadratico;120000;3976
1;auspol2019;Cerrado_Cuadratico;130000;4254
1;auspol2019;Cerrado_Cuadratico;140000;4560
1;auspol2019;Cerrado_Cuadratico;150000;4895
1;auspol2019;Cerrado_Cuadratico;160000;5271
1;auspol2019;Cerrado_Cuadratico;170000;5617
1;auspol2019;Cerrado_Cuadratico;180000;5924
1;auspol2019;Cerrado_Doble;10000;593
1;auspol2019;Cerrado_Doble;20000;1171
1;auspol2019;Cerrado_Doble;30000;1752
1;auspol2019;Cerrado_Doble;40000;2319
1;auspol2019;Cerrado_Doble;50000;2871
1;auspol2019;Cerrado_Doble;60000;3442
1;auspol2019;Cerrado_Doble;70000;3987
1;auspol2019;Cerrado_Doble;80000;4562
1;auspol2019;Cerrado_Doble;90000;5089
1;auspol2019;Cerrado_Doble;100000;5610
1;auspol2019;Cerrado_Doble;110000;6151
1;auspol2019;Cerrado_Doble;120000;6668
1;auspol2019;Cerrado_Doble;130000;7186
1;auspol2019;Cerrado_Doble;140000;7692
1;auspol2019;Cerrado_Doble;150000;8245
1;auspol2019;Cerrado_Doble;160000;8828
1;auspol2019;Cerrado_Doble;170000;9375
1;auspol2019;Cerrado_Doble;180000;9870
1;auspol2019;STL_UnorderedMap;10000;271
1;auspol2019;STL_UnorderedMap;20000;553
1;auspol2019;STL_UnorderedMap;30000;842
1;auspol2019;STL_UnorderedMap;40000;1112
1;auspol2019;STL_UnorderedMap;50000;1374
1;auspol2019;STL_UnorderedMap;60000;1650
1;auspol2019;STL_UnorderedMap;70000;1952
1;auspol2019;STL_UnorderedMap;80000;2240
1;auspol2019;STL_UnorderedMap;90000;2497
1;auspol2019;STL_UnorderedMap;100000;2744
1;auspol2019;STL_UnorderedMap;110000;2980
1;auspol2019;STL_UnorderedMap;120000;3215
1;auspol2019;STL_UnorderedMap;130000;3448
1;auspol2019;STL_UnorderedMap;140000;3670
1;auspol2019;STL_UnorderedMap;150000;3953
1;auspol2019;STL_UnorderedMap;160000;4255
1;auspol2019;STL_UnorderedMap;170000;4531
1;auspol2019;STL_UnorderedMap;180000;4778
2;auspol2019;Hash_Abierto;10000;373
2;auspol2019;Hash_Abierto;20000;815
2;auspol2019;Hash_Abierto;30000;1203
2;auspol2019;Hash_Abierto;40000;1547
2;auspol2019;Hash_Abierto;50000;1891
2;auspol2019;Hash_Abierto;60000;2251
2;auspol2019;Hash_Abierto;70000;2615
2;auspol2019;Hash_Abierto;80000;2969
2;auspol2019;Hash_Abierto;90000;3287
2;auspol2019;Hash_Abierto;100000;3597
2;auspol2019;Hash_Abierto;110000;3895
2;auspol2019;Hash_Abierto;120000;4192
2;auspol2019;Hash_Abierto;130000;4499
2;auspol2019;Hash_Abierto;140000;4788
2;auspol2019;Hash_Abierto;150000;5115
2;auspol2019;Hash_Abierto;160000;5485
2;auspol2019;Hash_Abierto;170000;5832
2;auspol2019;Hash_Abierto;180000;6136
2;auspol2019;Cerrado_Lineal;10000;357
2;auspol2019;Cerrado_Lineal;20000;730
2;auspol2019;Cerrado_Lineal;30000;1125
2;auspol2019;Cerrado_Lineal;40000;1473
2;auspol2019;Cerrado_Lineal;50000;1825
2;auspol2019;Cerrado_Lineal;60000;2188
2;auspol2019;Cerrado_Lineal;70000;2533
2;auspol2019;Cerrado_Lineal;80000;2908
2;auspol2019;Cerrado_Lineal;90000;3236
2;auspol2019;Cerrado_Lineal;100000;3565
2;auspol2019;Cerrado_Lineal;110000;3879
2;auspol2019;Cerrado_Lineal;120000;4190
2;auspol2019;Cerrado_Lineal;130000;4499
2;auspol2019;Cerrado_Lineal;140000;4801
2;auspol2019;Cerrado_Lineal;150000;5179
2;auspol2019;Cerrado_Lineal;160000;5566
2;auspol2019;Cerrado_Lineal;170000;5919
2;auspol2019;Cerrado_Lineal;180000;6230
2;auspol2019;Cerrado_Cuadratico;10000;378
2;auspol2019;Cerrado_Cuadratico;20000;732
2;auspol2019;Cerrado_Cuadratico;30000;1094
2;auspol2019;Cerrado_Cuadratico;40000;1426
2;auspol2019;Cerrado_Cuadratico;50000;1766
2;auspol2019;Cerrado_Cuadratico;60000;2115
2;auspol2019;Cerrado_Cuadratico;70000;2460
2;auspol2019;Cerrado_Cuadratico;80000;2804
2;auspol2019;Cerrado_Cuadratico;90000;3118
2;auspol2019;Cerrado_Cuadratico;100000;3428
2;auspol2019;Cerrado_Cuadratico;110000;3731
2;auspol2019;Cerrado_Cuadratico;120000;4032
2;auspol2019;Cerrado_Cuadratico;130000;4348
